currency,date,avg_value
GBP,2000-01,0.6183380952380952
GBP,2000-02,0.6146571428571429
GBP,2000-03,0.6106260869565218
GBP,2000-04,0.5980166666666666
GBP,2000-05,0.6015090909090909
GBP,2000-06,0.6292681818181818
GBP,2000-07,0.6230428571428571
GBP,2000-08,0.607095652173913
GBP,2000-09,0.6077285714285715
GBP,2000-10,0.5893272727272728
GBP,2000-11,0.6003863636363637
GBP,2000-12,0.6134210526315789
GBP,2001-01,0.6347999999999999
GBP,2001-02,0.6339950000000001
GBP,2001-03,0.6291454545454547
GBP,2001-04,0.6216842105263157
GBP,2001-05,0.6132818181818182
GBP,2001-06,0.608904761904762
GBP,2001-07,0.6085681818181817
GBP,2001-08,0.6267173913043477
GBP,2001-09,0.62291
GBP,2001-10,0.6239347826086957
GBP,2001-11,0.618375
GBP,2001-12,0.6201194444444444
GBP,2002-01,0.6165931818181819
GBP,2002-02,0.6116024999999999
GBP,2002-03,0.6157349999999998
GBP,2002-04,0.6140714285714287
GBP,2002-05,0.6282272727272726
GBP,2002-06,0.6440500000000001
GBP,2002-07,0.6386999999999999
GBP,2002-08,0.636331818181818
GBP,2002-09,0.6305880952380952
GBP,2002-10,0.6299413043478261
GBP,2002-11,0.6370857142857143
GBP,2002-12,0.6421749999999999
GBP,2003-01,0.657109090909091
GBP,2003-02,0.6697725
GBP,2003-03,0.6825476190476191
GBP,2003-04,0.6890199999999999
GBP,2003-05,0.7132190476190478
GBP,2003-06,0.7022404761904761
GBP,2003-07,0.7004478260869564
GBP,2003-08,0.6991928571428572
GBP,2003-09,0.6969272727272727
GBP,2003-10,0.6976304347826087
GBP,2003-11,0.6927774999999999
GBP,2003-12,0.7019571428571428
GBP,2004-01,0.6921452380952381
GBP,2004-02,0.6768975
GBP,2004-03,0.6712413043478261
GBP,2004-04,0.6653249999999999
GBP,2004-05,0.6715738095238094
GBP,2004-06,0.6642818181818183
GBP,2004-07,0.6657568181818182
GBP,2004-08,0.6694181818181818
GBP,2004-09,0.6812977272727273
GBP,2004-10,0.6914404761904762
GBP,2004-11,0.6986204545454545
GBP,2004-12,0.695
GBP,2005-01,0.6986666666666668
GBP,2005-02,0.68968
GBP,2005-03,0.6923309523809523
GBP,2005-04,0.6829333333333334
GBP,2005-05,0.6839931818181818
GBP,2005-06,0.6689477272727274
GBP,2005-07,0.6875642857142858
GBP,2005-08,0.6852695652173914
GBP,2005-09,0.6775954545454546
GBP,2005-10,0.6813666666666666
GBP,2005-11,0.6793318181818182
GBP,2005-12,0.6792214285714285
GBP,2006-01,0.6859840909090908
GBP,2006-02,0.6829725000000002
GBP,2006-03,0.6893478260869565
GBP,2006-04,0.6946277777777777
GBP,2006-05,0.6832954545454545
GBP,2006-06,0.6866590909090907
GBP,2006-07,0.6878190476190476
GBP,2006-08,0.6766869565217392
GBP,2006-09,0.6751071428571427
GBP,2006-10,0.6725431818181817
GBP,2006-11,0.673968181818182
GBP,2006-12,0.6728605263157895
GBP,2007-01,0.6634068181818181
GBP,2007-02,0.6680025
GBP,2007-03,0.6802113636363635
GBP,2007-04,0.6793368421052633
GBP,2007-05,0.681355909090909
GBP,2007-06,0.6756238095238095
GBP,2007-07,0.6744
GBP,2007-08,0.677663043478261
GBP,2007-09,0.68887
GBP,2007-10,0.6961413043478261
GBP,2007-11,0.7089590909090909
GBP,2007-12,0.7206368421052631
GBP,2008-01,0.7472499999999997
GBP,2008-02,0.7509380952380953
GBP,2008-03,0.7749394736842107
GBP,2008-04,0.7948659090909089
GBP,2008-05,0.7920857142857143
GBP,2008-06,0.7915238095238095
GBP,2008-07,0.7930760869565219
GBP,2008-08,0.7927880952380952
GBP,2008-09,0.7992431818181818
GBP,2008-10,0.7866804347826087
GBP,2008-11,0.8306324999999999
GBP,2008-12,0.9044761904761903
GBP,2009-01,0.9181928571428574
GBP,2009-02,0.8869100000000001
GBP,2009-03,0.9196636363636365
GBP,2009-04,0.8975600000000001
GBP,2009-05,0.884445
GBP,2009-06,0.8566999999999999
GBP,2009-07,0.8609195652173913
GBP,2009-08,0.862654761904762
GBP,2009-09,0.8913477272727274
GBP,2009-10,0.9155659090909093
GBP,2009-11,0.8989238095238095
GBP,2009-12,0.899717272727273
GBP,2010-01,0.8830499999999999
GBP,2010-02,0.8760425
GBP,2010-03,0.9016021739130436
GBP,2010-04,0.8745550000000002
GBP,2010-05,0.8571442857142857
GBP,2010-06,0.8277068181818183
GBP,2010-07,0.8356568181818183
GBP,2010-08,0.8236318181818182
GBP,2010-09,0.839865909090909
GBP,2010-10,0.8763761904761905
GBP,2010-11,0.8550954545454544
GBP,2010-12,0.8481282608695652
GBP,2011-01,0.8471171428571429
GBP,2011-02,0.8463545
GBP,2011-03,0.8665326086956524
GBP,2011-04,0.8829131578947368
GBP,2011-05,0.877877272727273
GBP,2011-06,0.8874477272727274
GBP,2011-07,0.8847595238095236
GBP,2011-08,0.8766847826086956
GBP,2011-09,0.8717227272727271
GBP,2011-10,0.8703595238095239
GBP,2011-11,0.8573954545454545
GBP,2011-12,0.8440547619047619
GBP,2012-01,0.8321018181818182
GBP,2012-02,0.8369595238095238
GBP,2012-03,0.8344818181818181
GBP,2012-04,0.8218842105263158
GBP,2012-05,0.8037077272727273
GBP,2012-06,0.8057928571428571
GBP,2012-07,0.788265909090909
GBP,2012-08,0.7888365217391305
GBP,2012-09,0.798211
GBP,2012-10,0.8066521739130436
GBP,2012-11,0.8038886363636365
GBP,2012-12,0.8123684210526317
GBP,2013-01,0.8327090909090908
GBP,2013-02,0.8624975000000001
GBP,2013-03,0.859955
GBP,2013-04,0.8507571428571429
GBP,2013-05,0.8491431818181819
GBP,2013-06,0.85191
GBP,2013-07,0.861923913043478
GBP,2013-08,0.8590409090909091
GBP,2013-09,0.8417100000000001
GBP,2013-10,0.8471978260869565
GBP,2013-11,0.8378023809523809
GBP,2013-12,0.8363864999999999
GBP,2014-01,0.8267431818181818
GBP,2014-02,0.825099
GBP,2014-03,0.8316976190476191
GBP,2014-04,0.8251950000000001
GBP,2014-05,0.8153466666666667
GBP,2014-06,0.8040904761904761
GBP,2014-07,0.7931043478260867
GBP,2014-08,0.7973009523809522
GBP,2014-09,0.7911318181818181
GBP,2014-10,0.788608695652174
GBP,2014-11,0.790535
GBP,2014-12,0.7882999999999999
GBP,2015-01,0.7667976190476191
GBP,2015-02,0.7405075000000001
GBP,2015-03,0.7235840909090909
GBP,2015-04,0.7211574999999999
GBP,2015-05,0.7212414999999999
GBP,2015-06,0.7207795454545456
GBP,2015-07,0.70685
GBP,2015-08,0.7142323809523808
GBP,2015-09,0.7312886363636363
GBP,2015-10,0.7328704545454546
GBP,2015-11,0.7065761904761907
GBP,2015-12,0.7259522727272728
GBP,2016-01,0.7545860000000001
GBP,2016-02,0.775585238095238
GBP,2016-03,0.7802009523809523
GBP,2016-04,0.7922957142857143
GBP,2016-05,0.7777913636363636
GBP,2016-06,0.7904936363636362
GBP,2016-07,0.841057619047619
GBP,2016-08,0.8552086956521741
GBP,2016-09,0.8522768181818182
GBP,2016-10,0.893899523809524
GBP,2016-11,0.868943181818182
GBP,2016-12,0.8444142857142858
GBP,2017-01,0.8610040909090911
GBP,2017-02,0.8527305000000001
GBP,2017-03,0.8656034782608696
GBP,2017-04,0.8482350000000001
GBP,2017-05,0.855543181818182
GBP,2017-06,0.8772381818181817
GBP,2017-07,0.8861733333333335
GBP,2017-08,0.9112073913043478
GBP,2017-09,0.8947009523809523
GBP,2017-10,0.8907140909090909
GBP,2017-11,0.8879450000000002
GBP,2017-12,0.8826489473684211
GBP,2018-01,0.8833113636363638
GBP,2018-02,0.883964
GBP,2018-03,0.8828704761904762
GBP,2018-04,0.8721214999999999
GBP,2018-05,0.8772577272727272
GBP,2018-06,0.8788604761904764
GBP,2018-07,0.8872549999999998
GBP,2018-08,0.8968686956521741
GBP,2018-09,0.892807
GBP,2018-10,0.8827208695652173
GBP,2018-11,0.8811813636363635
GBP,2018-12,0.8977415789473685
GBP,2019-01,0.8860295454545455
GBP,2019-02,0.8726370000000001
GBP,2019-03,0.8582204761904764
GBP,2019-04,0.8617894999999999
GBP,2019-05,0.8717581818181817
GBP,2019-06,0.8910730000000001
GBP,2019-07,0.8994204347826088
GBP,2019-08,0.9155377272727274
GBP,2019-09,0.8909161904761904
GBP,2019-10,0.8753856521739128
GBP,2019-11,0.8576090476190479
GBP,2019-12,0.8473075000000001
GBP,2020-01,0.8492727272727273
GBP,2020-02,0.840946
GBP,2020-03,0.8945954545454545
GBP,2020-04,0.8754690000000002
GBP,2020-05,0.886853
GBP,2020-06,0.8987813636363636
